fighter,wins,loss,total
Donald Cerrone,23,13,36
Andrei Arlovski,23,14,37
Jim Miller,23,15,38
Demian Maia,22,11,33
Charles Oliveira,21,8,29
Jon Jones,20,1,21
Georges St. Pierre,20,2,22
Dustin Poirier,20,6,26
Michael Bisping,20,9,29
Rafael dos Anjos,20,11,31
Max Holloway,19,6,25
Neil Magny,19,7,26
Diego Sanchez,19,13,32
Matt Hughes,18,7,25
Francisco Trinaldo,18,7,25
Frankie Edgar,18,10,28
Anderson Silva,17,7,24
Derrick Lewis,17,7,24
Darren Elkins,17,9,26
Clay Guida,17,16,33
Glover Teixeira,16,6,22
Chuck Liddell,16,7,23
Randy Couture,16,8,24
Lyoto Machida,16,8,24
Frank Mir,16,11,27
Edson Barboza,16,11,27
Gleison Tibau,16,11,27
Matt Brown,16,13,29